SimulationName,SimulationID,CheckpointID,CheckpointName,Clock.Today,Maize.AboveGround.N,Maize.AboveGround.Wt,Maize.Grain.N,Maize.Grain.NumberFunction,Maize.Grain.Size,Maize.Grain.Total.Wt,Maize.Grain.Wt,Maize.Phenology.CurrentStageName,Maize.Total.Wt,Yield,Zone
Simulation,1,1,Current,1991-05-28,17.635,1892.688,12.924,3947.778,0.244,961.687,961.687,HarvestRipe,2021.541,9616.868,Field
Simulation,1,1,Current,1992-04-09,10.482,1156.773,7.625,2149.150,0.272,584.937,584.937,HarvestRipe,1248.985,5849.372,Field
Simulation,1,1,Current,1993-03-16,2.171,268.027,0.418,79.786,0.329,26.239,26.239,HarvestRipe,298.474,262.389,Field
Simulation,1,1,Current,1994-03-15,8.770,883.447,4.505,1187.679,0.285,338.990,338.990,HarvestRipe,951.952,3389.898,Field
Simulation,1,1,Current,1995-04-04,20.951,1929.407,13.134,3918.326,0.246,963.800,963.800,HarvestRipe,2093.062,9637.997,Field
Simulation,1,1,Current,1996-03-15,23.635,2355.525,14.678,3876.190,0.299,1158.274,1158.274,HarvestRipe,2536.449,11582.739,Field
Simulation,1,1,Current,1997-04-05,10.755,1174.389,2.431,596.858,0.301,179.870,179.870,HarvestRipe,1345.250,1798.699,Field
Simulation,1,1,Current,1998-03-06,8.768,1011.963,2.630,622.324,0.309,192.277,192.277,HarvestRipe,1142.520,1922.766,Field
Simulation,1,1,Current,1999-04-10,22.996,2166.862,14.225,3622.224,0.294,1065.456,1065.456,HarvestRipe,2333.962,10654.556,Field
Simulation,1,1,Current,2000-04-05,20.370,1918.014,11.629,3125.315,0.281,877.503,877.503,HarvestRipe,2093.433,8775.025,Field
